epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,4954.64,1.0181,2.46761,1.21436,1.08938,0.63033,0.59316,0.60629,0.45788,0.56692,0.51846,0.48191,0.30194,0.8953,2.01423,0.88122,1.0411,0.00934984,0.00933899,0.00933899
4,6587.64,1.00353,2.41684,1.17547,1.08742,0.67691,0.62658,0.65801,0.50729,0.61102,0.55288,0.53216,0.33852,0.84117,1.87568,0.7888,1.01986,0.00901,0.00901,0.00901
5,8228.5,0.95182,2.29203,1.08989,1.06305,0.70109,0.64271,0.68166,0.53162,0.63472,0.56999,0.55465,0.3566,0.81563,1.81429,0.74581,1.00656,0.00868,0.00868,0.00868
6,9852.19,0.92736,2.22869,1.04338,1.05075,0.7019,0.65902,0.69531,0.54476,0.63757,0.58298,0.56815,0.36757,0.80426,1.78088,0.72564,1.00207,0.00835,0.00835,0.00835
7,11487.1,0.91086,2.19017,1.01865,1.04298,0.69678,0.67188,0.70195,0.55213,0.63711,0.59283,0.57525,0.37325,0.79683,1.7594,0.71337,0.99882,0.00802,0.00802,0.00802
8,13124.8,0.89781,2.15146,0.99423,1.03647,0.70386,0.67749,0.70926,0.55865,0.63789,0.59933,0.58137,0.37811,0.7909,1.74332,0.70385,0.9962,0.00769,0.00769,0.00769
9,14756.2,0.88805,2.12944,0.97964,1.03162,0.70743,0.68104,0.71514,0.56475,0.64463,0.60053,0.58783,0.38316,0.78576,1.72744,0.6951,0.99371,0.00736,0.00736,0.00736
1,1646.85,1.03412,2.71708,1.50588,1.1432,0.60474,0.52976,0.54176,0.40662,0.55434,0.44657,0.4119,0.24715,0.91167,2.16791,0.9722,1.04207,0.0700125,0.00333194,0.00333194
2,3297.5,0.95553,2.36324,1.14666,1.05865,0.58189,0.57237,0.57993,0.43334,0.51839,0.49383,0.45408,0.28014,0.91458,2.07607,0.92479,1.02578,0.0398475,0.00650031,0.00650031
3,4949.91,1.01081,2.4444,1.20031,1.08421,0.61293,0.57977,0.59344,0.4433,0.55305,0.49935,0.46803,0.29162,0.91575,2.05597,0.9126,1.04623,0.00951757,0.00950368,0.00950368
4,6584.25,1.00313,2.41524,1.17764,1.08577,0.64714,0.62354,0.64481,0.49547,0.58154,0.54918,0.51892,0.33002,0.85674,1.90207,0.8094,1.0256,0.0092575,0.0092575,0.0092575
5,8213.98,0.95378,2.29668,1.09022,1.0626,0.68366,0.64831,0.67836,0.52763,0.61823,0.57225,0.55161,0.35363,0.82222,1.82052,0.75338,1.00871,0.00901,0.00901,0.00901
6,9808.03,0.92976,2.23293,1.04915,1.05184,0.69998,0.65922,0.69669,0.54601,0.63864,0.58292,0.56915,0.36779,0.80465,1.77621,0.72513,1.00089,0.0087625,0.0087625,0.0087625
7,11406.7,0.91403,2.19142,1.02101,1.04415,0.70251,0.67062,0.70699,0.55595,0.63742,0.59435,0.5792,0.37573,0.79458,1.74901,0.70869,0.99633,0.008515,0.008515,0.008515
8,12991.5,0.90097,2.1584,0.99999,1.03725,0.71061,0.67464,0.71139,0.5611,0.64405,0.59717,0.58348,0.37954,0.78874,1.73409,0.70046,0.99341,0.0082675,0.0082675,0.0082675
9,14592.6,0.89276,2.13568,0.98614,1.03305,0.70581,0.67919,0.71481,0.56481,0.64313,0.60062,0.58732,0.38299,0.78456,1.72348,0.69327,0.99118,0.00802,0.00802,0.00802
10,16191,0.88719,2.11828,0.97525,1.02997,0.71033,0.68114,0.71938,0.56939,0.64526,0.60393,0.59189,0.38677,0.78099,1.71351,0.68722,0.98956,0.0077725,0.0077725,0.0077725
11,17792.2,0.88156,2.10084,0.96234,1.02778,0.71799,0.68104,0.72301,0.57299,0.65436,0.60317,0.59596,0.39049,0.7776,1.70405,0.68145,0.98794,0.007525,0.007525,0.007525
12,19402.9,0.87541,2.08494,0.95215,1.02466,0.71714,0.68409,0.72649,0.5765,0.65393,0.60774,0.59925,0.39346,0.77491,1.69569,0.67589,0.98684,0.0072775,0.0072775,0.0072775
13,21002.9,0.87115,2.07464,0.94712,1.02233,0.72073,0.6872,0.72983,0.58019,0.65845,0.6111,0.60284,0.39627,0.77232,1.68781,0.67086,0.98553,0.00703,0.00703,0.00703
14,22624.5,0.8659,2.05725,0.93758,1.01993,0.72555,0.69008,0.73332,0.58357,0.65899,0.61373,0.60591,0.39921,0.76987,1.67938,0.666,0.98426,0.0067825,0.0067825,0.0067825
15,24248.2,0.8629,2.04666,0.93058,1.01785,0.72843,0.69103,0.7368,0.5872,0.66417,0.61205,0.60861,0.40193,0.76739,1.67174,0.6611,0.98285,0.006535,0.006535,0.006535
16,25862.7,0.85712,2.03406,0.92317,1.0153,0.73106,0.69249,0.73992,0.59068,0.67179,0.61109,0.61235,0.40472,0.76524,1.66423,0.6567,0.98135,0.0062875,0.0062875,0.0062875
17,27465.1,0.85408,2.02384,0.91635,1.01296,0.7352,0.69256,0.7428,0.59363,0.67501,0.61263,0.61483,0.40732,0.76305,1.65682,0.65239,0.9801,0.00604,0.00604,0.00604
18,29094.1,0.85126,2.01022,0.90751,1.01114,0.73374,0.69602,0.74533,0.59651,0.67359,0.6151,0.61747,0.40953,0.7611,1.65043,0.6483,0.97884,0.0057925,0.0057925,0.0057925
19,30709.6,0.84786,2.00389,0.90365,1.0108,0.73769,0.69746,0.74787,0.59941,0.67538,0.61837,0.62027,0.41184,0.75933,1.64351,0.64407,0.97765,0.005545,0.005545,0.005545
20,32326.7,0.84367,1.98905,0.89557,1.00775,0.74234,0.6989,0.75045,0.60206,0.67652,0.62168,0.62283,0.41377,0.75753,1.63762,0.64045,0.97654,0.0052975,0.0052975,0.0052975
21,33939.6,0.84076,1.97973,0.88805,1.00697,0.74776,0.69856,0.753,0.60434,0.67901,0.62436,0.62573,0.41607,0.75564,1.63142,0.637,0.97536,0.00505,0.00505,0.00505
22,35531.5,0.83669,1.96963,0.88005,1.00415,0.75327,0.69967,0.75522,0.60664,0.68934,0.62157,0.62834,0.41839,0.75399,1.62536,0.63339,0.9742,0.0048025,0.0048025,0.0048025
23,37145.5,0.83296,1.95732,0.87376,1.00275,0.75749,0.70126,0.75788,0.6093,0.69158,0.62569,0.63035,0.42076,0.75216,1.61916,0.62955,0.97305,0.004555,0.004555,0.004555
24,38736,0.82814,1.94929,0.87026,1.0005,0.76417,0.69968,0.76052,0.61188,0.69784,0.62456,0.63303,0.42294,0.75037,1.61243,0.6261,0.97191,0.0043075,0.0043075,0.0043075
25,40333.7,0.82512,1.93436,0.86066,0.99854,0.7652,0.70144,0.76261,0.61411,0.69982,0.62598,0.6357,0.42525,0.74881,1.60692,0.6228,0.9709,0.00406,0.00406,0.00406
26,41928.4,0.82118,1.92119,0.85293,0.99723,0.76538,0.70317,0.76507,0.61673,0.7017,0.6261,0.63819,0.42751,0.74717,1.60125,0.61936,0.96992,0.0038125,0.0038125,0.0038125
27,43530.7,0.81596,1.91,0.84511,0.99457,0.75723,0.71239,0.76723,0.61908,0.70059,0.63054,0.64063,0.42952,0.7457,1.59569,0.61594,0.9689,0.003565,0.003565,0.003565
28,45132.1,0.8122,1.8991,0.83775,0.99347,0.76211,0.71337,0.76948,0.62161,0.69734,0.63542,0.64285,0.43147,0.74423,1.59029,0.61285,0.9678,0.0033175,0.0033175,0.0033175
29,46740.5,0.80735,1.88091,0.8289,0.99023,0.76344,0.71553,0.77169,0.62395,0.69617,0.64085,0.64465,0.43318,0.74269,1.58517,0.60957,0.96669,0.00307,0.00307,0.00307
30,48360.5,0.8026,1.8679,0.8199,0.98787,0.76498,0.71813,0.77384,0.62623,0.69962,0.64159,0.6468,0.43516,0.74119,1.58037,0.60611,0.96561,0.0028225,0.0028225,0.0028225
31,49972.7,0.7998,1.68152,0.67704,0.98126,0.76951,0.72013,0.77654,0.62874,0.70636,0.64235,0.64939,0.43778,0.73939,1.57403,0.60231,0.96431,0.002575,0.002575,0.002575
32,51563.7,0.79132,1.65388,0.65946,0.97622,0.77582,0.71922,0.77945,0.63158,0.71313,0.64114,0.65213,0.4404,0.73771,1.56805,0.5985,0.96291,0.0023275,0.0023275,0.0023275
33,53176.4,0.78321,1.63141,0.64556,0.97215,0.77787,0.72082,0.78207,0.63405,0.70968,0.64681,0.6551,0.44287,0.73596,1.56213,0.59458,0.96155,0.00208,0.00208,0.00208
34,54769.1,0.77602,1.60435,0.62846,0.96779,0.78123,0.72449,0.78494,0.63708,0.71667,0.6471,0.65779,0.44547,0.73448,1.55677,0.59058,0.9603,0.0018325,0.0018325,0.0018325
35,56341.9,0.76733,1.58218,0.61417,0.96374,0.77519,0.73257,0.78783,0.63988,0.71584,0.65074,0.66056,0.44791,0.73293,1.55162,0.5868,0.95912,0.001585,0.001585,0.001585
36,57925.5,0.75974,1.55439,0.59719,0.95968,0.7763,0.73706,0.78997,0.64245,0.71159,0.65781,0.66369,0.45065,0.73168,1.54668,0.58316,0.95793,0.0013375,0.0013375,0.0013375
37,59504.8,0.75072,1.52567,0.57964,0.95488,0.77951,0.73897,0.79281,0.64511,0.71859,0.65695,0.66688,0.4531,0.73055,1.54209,0.57972,0.95676,0.00109,0.00109,0.00109
38,61062.8,0.7416,1.49705,0.56221,0.95132,0.78426,0.73868,0.79478,0.64718,0.71934,0.66132,0.66877,0.45523,0.72936,1.53895,0.57684,0.95569,0.0008425,0.0008425,0.0008425
